"raceid"/t"year"/t"round"/t"circuitid"/t"name"/t"date"/t"time"/t"url"/t"fp1_date"/t"fp1_time"/t"fp2_date"/t"fp2_time"/t"fp3_date"/t"fp3_time"/t"quali_date"/t"quali_time"/t"sprint_date"/t"sprint_time"
1/t2009/t1/t1/tAustralian Grand Prix/t2009-03-29/t06:00:00/thttp://en.wikipedia.org/wiki/2009_Australian_Grand_Prix/t/t/t/t/t/t/t/t/t/t
2/t2009/t2/t2/tMalaysian Grand Prix/t2009-04-05/t09:00:00/thttp://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix/t/t/t/t/t/t/t/t/t/t
3/t2009/t3/t17/tChinese Grand Prix/t2009-04-19/t07:00:00/thttp://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix/t/t/t/t/t/t/t/t/t/t
4/t2009/t4/t3/tBahrain Grand Prix/t2009-04-26/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix/t/t/t/t/t/t/t/t/t/t
5/t2009/t5/t4/tSpanish Grand Prix/t2009-05-10/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix/t/t/t/t/t/t/t/t/t/t
6/t2009/t6/t6/tMonaco Grand Prix/t2009-05-24/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix/t/t/t/t/t/t/t/t/t/t
7/t2009/t7/t5/tTurkish Grand Prix/t2009-06-07/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix/t/t/t/t/t/t/t/t/t/t
8/t2009/t8/t9/tBritish Grand Prix/t2009-06-21/t12:00:00/thttp://en.wikipedia.org/wiki/2009_British_Grand_Prix/t/t/t/t/t/t/t/t/t/t
9/t2009/t9/t20/tGerman Grand Prix/t2009-07-12/t12:00:00/thttp://en.wikipedia.org/wiki/2009_German_Grand_Prix/t/t/t/t/t/t/t/t/t/t
10/t2009/t10/t11/tHungarian Grand Prix/t2009-07-26/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix/t/t/t/t/t/t/t/t/t/t
11/t2009/t11/t12/tEuropean Grand Prix/t2009-08-23/t12:00:00/thttp://en.wikipedia.org/wiki/2009_European_Grand_Prix/t/t/t/t/t/t/t/t/t/t
12/t2009/t12/t13/tBelgian Grand Prix/t2009-08-30/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix/t/t/t/t/t/t/t/t/t/t
13/t2009/t13/t14/tItalian Grand Prix/t2009-09-13/t12:00:00/thttp://en.wikipedia.org/wiki/2009_Italian_Grand_Prix/t/t/t/t/t/t/t/t/t/t
